matrix_order,serial_exec_time_ms,parallel_tasks_num,parallel_exec_time_ms,achieved_speedup,max_theoretical_speedup
3,0,3,0,1.000000,3.000000
5,0,5,0,1.000000,5.000000
8,4,8,2,2.000000,8.000000
9,31,9,18,1.722222,9.000000
10,306,10,115,2.660870,10.000000
11,3401,11,1161,2.929371,11.000000
