matrix_order,serial_exec_time_ms,parallel_tasks_num,parallel_exec_time_ms,achieved_speedup,max_theoretical_speedup
3,0.0,3,104.07471656799316,0.0,3
5,0.0,5,154.10923957824707,0.0,5
8,150.1171588897705,8,259.171724319458,0.5792188915822252,8
9,1336.9581699371338,9,590.4042720794678,2.264479159725966,9
10,13341.4306640625,10,4030.8544635772705,3.3098269323825584,10
11,146341.45760536194,11,44571.495056152344,3.2832970359418527,11
