matrix_order,serial_exec_time_ms,parallel_tasks_num,parallel_exec_time_ms,achieved_speedup,max_theoretical_speedup
10,13877.811431884766,2,7878.568172454834,1.7614636477227645,2.0
10,13877.811431884766,3,6583.655595779419,2.107918804376919,3.0
10,13877.811431884766,4,5699.027061462402,2.4351194128781066,4.0
10,13877.811431884766,5,5102.607488632202,2.7197489641918025,5.0
10,13877.811431884766,6,5286.837816238403,2.6249739285096623,6.0
10,13877.811431884766,7,5625.564813613892,2.4669187702362616,7.0
10,13877.811431884766,8,5855.215311050415,2.370162444016958,8.0
10,13877.811431884766,9,6246.58989906311,2.221662003770444,9.0
10,13877.811431884766,10,5430.89485168457,2.5553452627756377,10.0
