matrix_order,serial_exec_time_ms,parallel_tasks_num,parallel_exec_time_ms,achieved_speedup,max_theoretical_speedup
10,315,2,162,1.944444,2.000000
10,315,3,135,2.333333,3.000000
10,315,4,106,2.971698,4.000000
10,315,5,87,3.620690,5.000000
10,315,6,84,3.750000,6.000000
10,315,7,90,3.500000,7.000000
10,315,8,94,3.351064,8.000000
10,315,9,99,3.181818,9.000000
10,315,10,81,3.888889,10.000000

